epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95,accuracy
1,4e-05,0.2754639891477731,0.2594436420046765,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254920959472,0.1371456980705261,0.1374378502368927,0.0602929927408695,0.0003999521431978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4970848339880503
2,6.8947542022764e-05,0.2536120020426237,0.2796952076580213,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1371363252401352,0.1379343271255493,0.0591503009200096,8.689763490110636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040065670600762
3,0.0001522986673028,0.2536426502924699,0.3314289359942726,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1580015271902084,0.1832852810621261,0.1942547112703323,0.2203600406646728,0.0304936431348323,7.476358405256178e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4669766748484573
4,0.00028,0.254350443986746,0.3925061783064966,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371261924505233,0.1371271014213562,0.1371289640665054,0.1371261775493621,0.1229427084326744,0.040718175470829,0.0434438735246658,0.0048650233075022,0.0,0.0,0.0,0.0,0.0,0.1914495363877268
5,0.0004366488747198,0.258888977766037,0.576936565015627,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1306767463684082,0.0002652521070558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641445626044086
6,0.0006033511252801,0.2509682751618899,0.2627576239731001,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371416747570037,0.0098104402422904,0.0001159781095338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266779477666917
7,0.0007599999999999,0.2507677025519884,0.2725044514821923,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1372222304344177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961713777135129
8,0.0008877013326971,0.250261596762217,0.2516934107179227,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371048390865326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2206302971880477
9,0.0009710524579772,0.2503150077966543,0.2512742578983307,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.126636117696762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033819934564985
10,0.001,0.250207568361209,0.2585646523081738,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.23637038469314575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5921094865322938
